id,name,latitude,longitude,country
Q764291,Chicagoland Speedway,41.47480,-88.05710,US
Q16258096,Chimay Street Circuit,50.05529,4.30388,BE
Q122056028,Chuckwalla Valley Raceway,33.75361,-115.31972,US
Q97170807,Château de Mornay,46.32220,1.92919,FR
Q136714054,Cigelsky okruh,48.73722,18.62833,SK
Q114612570,Circuit 9,18.58389,-72.31806,HT
Q172895,Circuit Bremgarten,46.95000,7.41083,CH
Q2973963,Circuit Carole,48.97754,2.52214,FR
Q951428,Circuit d'Albi,43.91472,2.11333,FR
Q8346365,Circuit d'Alcarràs,41.61933,0.39889,ES
Q120275726,Circuit d'Issoire,45.53721,3.26606,FR
Q171404,Circuit de Barcelona-Catalunya,41.57000,2.26111,ES
Q120299525,Circuit de Bresse,46.55432,5.32922,FR
Q2973974,Circuit de Cadours,43.74010,1.03370,FR
Q4894266,Circuit de Calafat,40.93389,0.84167,ES
Q11913913,Circuit de Can Nolla,41.50478,2.35232,ES
Q2973985,Circuit de Chambley,49.02690,5.89111,FR
Q2973986,circuit de Chenevières,48.51416,6.64848,FR
Q2974025,Circuit de Croix-en-Ternois,50.37703,2.29717,FR
Q5121598,Circuit de Dakar Baobabs,14.59239,-17.02263,SN
Q2973989,Circuit de Faleyras,44.75190,-0.24111,FR
Q90122326,Circuit de Gallecs,41.56456,2.20164,ES
Q2973992,Circuit de Haute Saintonge,45.24190,-0.09734,FR
Q2973993,Circuit de Kerlabo,48.44190,-2.94472,FR
Q126950712,Circuit de La Châtre,46.59292,2.00675,FR
Q2408156,Circuit de la Jamaïque,-20.89070,55.50220,FR
Q174090,Circuit de la Sarthe,47.94986,0.20753,FR
Q2974019,circuit de la Versenne,47.43140,6.70083,FR
Q2973994,Circuit de Lavaré,48.05820,0.66949,FR
Q16830886,Circuit de Lignières,47.09014,7.07622,CH
Q2974000,Circuit de Lohéac,47.86348,-1.89246,FR
Q2974001,Circuit de Loire-Atlantique,47.34469,-1.79913,FR
Q105345142,Circuit de Lyon-Parilly,45.72167,4.88528,FR
Q2974006,Circuit de Lédenon,43.92361,4.50583,FR
Q2974002,circuit de Maison Blanche,47.95490,0.21172,FR
Q2974005,Circuit de Mayenne,48.31630,-0.77183,FR
Q125747630,circuit de Mirecourt,48.32066,6.07912,FR
Q17624914,circuit de Mireval,43.52059,3.79571,FR
Q171400,Circuit de Monaco,43.73472,7.42056,MC
Q17597543,Circuit de Montgai,41.80021,0.94369,ES
Q2974022,circuit de motocross de Tilly-sur-Seulles,49.17300,-0.61490,FR
Q11913919,Circuit de Motocròs de Campos,39.45315,3.02453,ES
Q11913920,circuit de Motocròs de Catalunya,41.62733,1.04214,ES
Q11913918,Circuit de Motocròs de Lleida,41.57876,0.58717,ES
Q172876,Circuit de Nevers Magny-Cours,46.86395,3.16231,FR
Q3678089,Circuit de Pau-Ville,43.29252,-0.36305,FR
Q11913923,Circuit de Pedralbes de motocròs,41.39128,2.11170,ES
Q48481880,Circuit de Porrentruy-Courtedoux,47.41018,7.04902,CH
Q94293907,circuit de Touraine,47.25428,0.57043,FR
Q109018523,Circuit de Zeltweg,47.20389,14.74778,AT
Q11913924,Circuit del Vallès,41.55465,2.04972,ES
Q2973979,Circuit des Ducs,48.54620,0.25763,FR
Q22073053,Circuit des Invalides,48.85579,2.31263,FR
Q18016301,Circuit des Nations,46.22056,6.14250,CH
Q2974024,circuit des Platanes,42.69861,2.89556,FR
Q2973976,Circuit des Remparts,45.64944,0.15694,FR
Q94292227,circuit des Tourneix,46.75916,1.59009,FR
Q55596379,Circuit du Bourbonnais,46.53722,3.44667,FR
Q2974031,Circuit du Luc,43.34815,6.33281,FR
Q5121599,Circuit du Mas du Clos,45.93120,2.30236,FR
Q2215233,Circuit du Val de Vienne,46.19626,0.63259,FR
Q2973965,Circuit Félix Guichard,-21.11250,55.75610,FR
Q172860,Circuit Gilles Villeneuve,45.50056,-73.52250,CA
Q247672,Circuit Goodyear,49.79567,6.10295,LU
Q16258391,Circuit ICAR,45.68100,-74.02300,CA
Q1092834,Circuit International Automobile Moulay El Hassan,31.58639,-7.98611,MA
Q116973540,Circuit Italia,-32.68156,151.80566,AU
Q936985,Circuit Jules Tacheny Mettet,50.30162,4.65245,BE
Q16830889,Circuit Mallorca Rennarena,39.49452,2.79455,ES
Q111021586,circuit mixte de rallycross de l'Ouest Parisien,48.75603,1.36975,FR
Q172873,Circuit Mont-Tremblant,46.18770,-74.60990,CA
Q139858891,Circuit Nitram Plus,48.40752,-64.45164,CA
Q55371593,Circuit of Folembray,49.54614,3.30392,FR
Q59626,Circuit of the Americas,30.13280,-97.64110,US
Q2291676,Circuit Paalgraven,51.73774,5.56152,NL
Q48697221,Circuit Park Kiriyanai,40.53092,141.37836,JP
Q609448,Circuit Pau-Arnos,43.44612,-0.53242,FR
Q867548,Circuit Paul Armagnac,43.77027,-0.03973,FR
Q171424,Circuit Paul Ricard,43.25056,5.79167,FR
Q786577,Circuit Ricardo Tormo,39.48583,-0.62806,ES
Q2973969,Circuit Riverside Speedway Ste-Croix,46.63194,-71.78806,CA
Q138588467,Circuit Sidi Daoui de Oued Zem,32.87330,-6.60157,MA
Q2205575,Circuit Strijen,51.76694,4.52806,NL
Q1092841,Circuit Trois-Rivières,46.34750,-72.55860,CA
Q2535507,Circuit van Tubbergen,52.37587,6.76655,NL
Q173083,Circuit Zandvoort,52.38829,4.54301,NL
Q172868,Circuit Zolder,50.98889,5.25556,BE
Q9765146,Circuito Ayrton Senna,-12.94480,-38.43161,BR
Q115112827,Circuito callejero de Ciudad del Cabo,-33.90346,18.41115,ZA
Q126678497,Circuito Carlos Romero de Tolhuin,-54.49000,-67.17306,AR
Q113143617,Circuito Centro Dinámico Pegaso,19.36737,-99.55645,MX
Q42881860,Circuito Cittadino dell'EUR,41.83439,12.47317,IT
Q56479251,Circuito Daniel Rivas,40.01980,-3.02617,ES
Q867557,Circuito de Albacete,39.00639,-1.79417,ES
Q5407985,Circuito de Almería,37.08990,-2.27190,ES
Q5770036,Circuito de Balocco,45.48534,8.30502,IT
Q5770060,Circuito de Cartagena,37.64444,-1.03333,ES
Q121463270,Circuito de Motocross Guadaíra,37.09475,-5.49194,ES
Q1092902,Circuito de Navarra,42.56106,-2.16361,ES
Q3678078,Circuito di Cagliari,39.19917,9.13500,IT
Q101361917,Circuito di Collemaggio,42.34359,13.40038,IT
Q786138,Circuito di Ospedaletti,43.80080,7.72281,IT
Q16541929,Circuito di Siracusa,37.06910,15.24670,IT
Q3678095,Circuito di Torretta,38.10737,13.22773,IT
Q172890,Circuito do Estoril,38.75083,-9.39417,PT
Q28679621,Circuito dos Cristais,-18.80694,-44.40927,BR
Q16830887,Circuito Grandvalira Andorra,42.53880,1.72098,AD
Q5121626,Circuito Guadix,37.40167,-3.07472,ES
Q20161262,Circuito Internacional de Vila Real,41.30056,-7.73167,PT
Q125776417,Circuito internazionale di Siena,43.30871,11.47413,IT
Q3677967,circuito internazionale di Viterbo,42.81117,12.12349,IT
Q113027915,Circuito Internazionale d’Abruzzo,42.30517,14.38046,IT
Q2974004,Circuito Lasarte,43.25634,-2.01880,ES
Q16890403,Circuito Palermo,-34.56010,-58.42630,AR
Q5121627,Circuito Rosendo Hernández,-33.33444,-66.39417,AR
Q57204547,Circuito San Juan Villicum,-31.39506,-68.57000,AR
Q1092883,Circuito Urbano Bilbao,43.26806,-2.94444,ES
Q17625283,Circuito Urbano de La Bañeza,42.29511,-5.89803,ES
Q570236,Circuito Vasco Sameiro,41.58611,-8.44472,PT
Q111021587,circuits de l'Ouest Parisien,48.75789,1.37106,FR
Q130222597,Circuíto Choqueiro,42.47150,-7.93520,ES
Q2113852,Clady Circuit,54.66420,-6.10639,GB
Q16969819,Claremont Speedway,-31.97560,115.78500,AU
Q16890428,Clark International Speedway,15.20780,120.53700,PH
Q3440116,Cleveland circuit,41.51660,-81.68312,US
Q3681725,Clypse Course,54.17167,-4.49194,IM
Q139620512,Collie Motorplex,-33.43131,116.24158,AU
Q15925583,Coloane Karting Track,22.13254,113.56059,CN
Q14684394,Colorado National Speedway,40.05970,-104.97400,US
Q1112546,Columbia Speedway,33.95833,-81.07778,US
Q5150081,Columbus Motor Speedway,39.88640,-82.94310,US
Q5158861,Concord Speedway,35.30860,-80.52140,US
Q5165270,Continental Divide Raceways,39.33310,-104.89300,US
Q5172001,Cornwall Motor Speedway,45.05270,-74.79830,CA
Q135664661,Coronado Street Course,32.69917,-117.21528,US
Q5181980,Crandon International Off-Road Raceway,45.57200,-88.94080,US
Q10443093,Credentia Arena,60.05566,18.61346,SE
Q123411911,Cremona Circuit,45.08543,10.31201,IT
Q5185658,Crimond Raceway,57.60830,-1.89617,GB
Q1074573,Croft Circuit,54.45583,-1.56278,GB
Q5189440,Crown Point Road Race Circuit,41.41667,-87.36667,US
